Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Editors of the American Heritage Dictionaries,"Dictionaries, Editors of the American Heritage",100 Words for Lovers,,Reference,0,,,,,Houghton Mifflin Harcourt,Unread,,,,,,,,9780547212579,,2014/03/02,,,,,,,9Fi-BfAGnooC,0,0,,,,,,
,Robert Michael Brown,"Brown, Robert Michael",104 Easy Projects for the Electronics Gadgeteer,,Electronics,0,,,,,Foulsham-Tab,Unread,,,,,,,,9780704200111,,2014/03/02,,,,,,,11keAAAACAAJ,0,0,,,,,,
,"Michael Predko, Myke Predko","Predko, Michael",123 Robotics Experiments for the Evil Genius,,Technology & Engineering,0,,,,,McGraw Hill Professional,Unread,,,,,,,,9780071413589,,2014/03/03,,,,,,,Qq0CVfcAktUC,0,0,,,,,,
,George Orwell,"Orwell, George",1984,A Novel,Fiction,0,,,,,Signet Classic,Unread,,,,,,,,9780451524935,,2014/04/01,,,,,,,yxv1LK5gyV4C,0,0,,,,,,
,Joseph Herman Hertz,"Hertz, Joseph Herman",A Book of Jewish Thoughts,,Jewish literature,0,,,,,National Jewish Welfare Board,Unread,,,1943/03/03,,,,,9781147075731,,2014/03/03,,,,,,,G2hIAAAAMAAJ,0,0,,,,,,Judaism
,Irene Korn,"Korn, Irene",A Celebration of Judaism in Art,,Art,0,,,,,New Line Books,Unread,,,,,,,,9781880908693,,2014/04/02,,,,,,,GLiengEACAAJ,0,0,,,,,,
,Noah BenShea,"benShea, Noah",A Compass for Healing,Finding Your Way from Emotional Pain to Peace,"Body, Mind & Spirit",0,,,,,"Health Communications, Inc.",Unread,,,,,,,,9780757305580,,2014/04/01,,,,,,,gmujAgAAQBAJ,0,0,,,,,,
,Edsger Wybe Dijkstra,"Dijkstra, Edsger Wybe",A Discipline of Programming,,Computers,0,,,,,"Pearson Education, Limited",Unread,,,,,,,,9780132158718,,2014/03/02,,,,,,,nZpQAAAAMAAJ,0,0,,,,,,CS
,George R. R. Martin,"Martin, George R. R.",A Game of Thrones,,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780553386790,,2014/04/01,,,,,,,hXNvadj27ekC,0,0,,,,,,
,Sara Baase,"Baase, Sara",A Gift of Fire,"Social, Legal, and Ethical Issues for Computing Technology",Computers,0,,,,,"Pearson Education, Limited",Unread,,,,,,,,9780132492676,,2014/03/03,,,,,,,imcOywAACAAJ,0,0,,,,,,
,John P. Meier,"Meier, John P.",A marginal Jew,rethinking the historical Jesus. The roots of the problem and the person,Religion,0,,,,,Doubleday,Unread,,,,,,,,9780385264259,,2014/03/02,,,,,,,zODYAAAAMAAJ,0,0,,,,,,
,Terry Crowley,"Crowley, Terry",A New Bislama Dictionary,,Bislama language,0,,,,,"Institute of Pacific Studies, The University of the South Pacific",Unread,,,,,,,,9789820200906,,2014/04/01,,,,,,,ZWFkAAAAMAAJ,0,0,,,,,,
